instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
Recommend a quick recipe that takes less than 15 minutes.,"Chicken with Balsamic Vinegar - Takes 10 minutes, 252.7 calories, serves 4.",Chicken with Balsamic Vinegar,True,exact,False,True,False,{'duration_max': 15.0},"{'calories': 252.7, 'duration': 10.0, 'serves': 4.0}",['balsamic vinegar - takes 10 minutes'],"Chicken With Balsamic Vinegar - 309 calories, 17.0g protein, 96mg sodium, ready in 40 minutes, serves 4. Ingredients: {'': [('boneless chicken thighs', '4  time(s) '), ('garlic cloves, crushed', '2  time(s) '), ('red wine', '0.75 time(s) cup '), ('white wine vinegar', '3  time(s) tablespoons '), ('olive oil', '1  time(s) tablespoon '), ('butter', '1  time(s) tablespoon '), ('shallots, whole', '4  time(s) '), ('balsamic vinegar', '3  time(s) tablespoons '), ('fresh thyme', '2  time(s) tablespoons '), ('salt and pepper, to taste', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 231 calories.,"Grandma's Chicken - 231.8 calories, 21.4g protein, ready in 40 minutes.",Grandma's Chicken,True,exact,False,True,False,{'calories_max': 231.0},"{'calories': 231.8, 'protein': 21.4, 'duration': 40.0}",[],"Grandma's Chicken - 920 calories, 53.8g protein, 344mg sodium, ready in 65 minutes, serves 4. Ingredients: {'': [('chicken, cut up', '1 time(s) (4 lb) '), ('salt', '0.25 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('season-all salt', '0.25 time(s) teaspoon '), ('flour', '0.75 time(s) cup '), ('water', '4  time(s) cups '), ('crisco cooking oil', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 2g fiber.,"Chocolate Cherry Muffins - 3.5g dietary fiber, 222.4 calories, 33.1g total carbs.",Chocolate Cherry Muffins,True,exact,True,True,False,{'fiber_min': 2.0},"{'calories': 222.4, 'fiber': 3.5}",[],"Chocolate Cherry Muffins - 313 calories, 4.3g protein, 228mg sodium, ready in 30 minutes. Ingredients: {'': [('flour', '2  time(s) cups '), ('chocolate chips', '2  time(s) cups '), ('sugar', '0.25 time(s) cup '), ('brown sugar', '0.25 time(s) cup '), ('baking powder', '2  time(s) teaspoons '), ('baking soda', '0.5 time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon '), ('chopped maraschino cherry', '0.5 time(s) cup '), ('milk', '0.75 time(s) cup '), ('oil', '0.3333333333333333 time(s) cup '), ('egg', '1 time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 6g protein.,"Sausage, Apple, and Cranberry Stuffing - 8.4g protein, 267.2 calories, 15.0g fat, 29.6g carbs.","Sausage, Apple, and Cranberry Stuffing",True,fuzzy,True,True,False,{'protein_min': 6.0},"{'calories': 267.2, 'protein': 8.4, 'carbs': 29.6, 'total_fat': 15.0}",[],"Sausage, Apple and Cranberry Stuffing - 236 calories, 10.3g protein, 362mg sodium, ready in 40 minutes, serves 10. Ingredients: {'': [('cubed whole wheat bread, toasted', '1 1/2 time(s) cups '), ('cubed white bread, toasted', '3 3/4 time(s) cups '), ('turkey sausage', '1  time(s) lb '), ('chopped onion', '1  time(s) cup '), ('chopped celery', '0.75 time(s) cup '), ('dried sage', '2 1/2 time(s) teaspoons '), ('dried rosemary', '1 1/2 time(s) teaspoons '), ('dried thyme', '0.5 time(s) teaspoon '), ('golden delicious apple, cored and chopped', '1  time(s) '), ('dried cranberries', '0.75 time(s) cup '), ('minced fresh parsley', '0.3333333333333333 time(s) cup '), ('cooked turkey liver, finely chopped', '1  time(s) '), ('turkey broth', '0.75 time(s) cup '), ('unsalted butter, melted', '4  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe under 273 calories.,"Cheesy Corn Dip - 273.0 calories, 14.8g protein, ready in 15 minutes.",Cheesy Corn Dip,True,substring,True,True,False,{'calories_max': 273.0},"{'calories': 273.0, 'protein': 14.8, 'duration': 15.0}",[],"Addictive Cheesy Corn Dip - 64 calories, 2.7g protein, 69mg sodium, ready in 60 minutes, serves 16. Ingredients: {'': [('tofutti sour cream', '0.5 time(s) cup '), ('vegan mayonnaise', '0.5 time(s) cup '), ('salsa, any kind you like', '0.5 time(s) cup '), ('garlic powder', '0.25 time(s) teaspoon '), ('green onion, diced (optional)', '0.25 time(s) cup '), ('black beans', '1 time(s) (15 ounce) can '), ('corn', '1 time(s) (15 ounce) can '), ('veggie shreds cheese (i actually use rice shreds)', '2  time(s) cups '), ('salt and pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 20 minutes.,"Chicken Noodle Soup - Takes 15 minutes, 190.3 calories, serves 1.",Chicken Noodle Soup,True,exact,False,True,False,{'duration_max': 20.0},"{'calories': 190.3, 'duration': 15.0, 'serves': 1.0}",[],"Chicken Noodle Soup - 401 calories, 29.6g protein, 612mg sodium, ready in 180 minutes, serves 12. Ingredients: {'': [('vegetable oil', '2  time(s) tablespoons '), ('medium onions, chopped', '2  time(s) '), ('medium carrots, cut into 1/4-inch-thick slices', '3  time(s) '), ('chickens', '1 time(s) (6 -7 lb) roasting '), ('or 2 quarts $template2$', '2  time(s) quarts chicken broth (see recipe below) '), ('quart cold water (or more)', '1  time(s) '), ('sprigs fresh parsley', '4  time(s) '), ('$template2$', '3  time(s) sprigs fresh thyme or 1/2 teaspoon '), ('bay leaf', '1  time(s) '), ('salt & freshly ground black pepper', ' time(s) '), ('egg noodles', '2  time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 14g fiber.,"Low-Sodium Beef Stew - 15.5g dietary fiber, 444.8 calories, 75.3g total carbs.",Low,True,substring,False,True,False,{'fiber_min': 14.0},"{'calories': 444.8, 'fiber': 15.5}",[],"Slow Cooker Cranberry Sauce - 237 calories, 0.4g protein, 2mg sodium, ready in 190 minutes, serves 4. Ingredients: {'': [('rinsed and picked over for stems)', '4  time(s) cups fresh cranberries (12 ounce bag '), ('sugar', '1  time(s) cup '), ('water', '0.5 time(s) cup '), ('lime zest or $template2$', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 60 minutes.,"Crispy Chicken Thighs - Takes 45 minutes, 254.6 calories, serves 4.",Crispy Chicken Thighs,True,exact,True,True,False,{'duration_max': 60.0},"{'calories': 254.6, 'duration': 45.0, 'serves': 4.0}",[],"Crispy Chicken Thighs - 416 calories, 33.2g protein, 146mg sodium, ready in 35 minutes, serves 2. Ingredients: {'': [('cloves garlic, finely chopped', '2  time(s) '), ('dried chili pepper flakes', '1  time(s) fresh red chilies, seeded and finely chopped or 1/4 teaspoon '), ('grated lemon, juice and rind of', '1  time(s) '), ('chopped fresh coriander or 2 tablespoons $template2$ (or half as much dried)', '2  time(s) tablespoons '), ('boneless chicken thighs, with skin they are quite easy to bone y necessary', '4  time(s) '), ('salt and pepper', ' time(s) '), ('boiled fragrant thai rice or $template2$', ' time(s) '), ('green vegetables, such as broccoli to serve', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 33g protein.,"Cheeseburger Soup - 37.9g protein, 450.6 calories, 24.9g fat, 28.3g carbs.",Cheeseburger Soup,True,exact,False,True,False,{'protein_min': 33.0},"{'calories': 450.6, 'protein': 37.9, 'carbs': 28.3, 'total_fat': 24.9}",[],"Cheeseburger Soup - 348 calories, 16.7g protein, 1062mg sodium, ready in 45 minutes, serves 8. Ingredients: {'': [('ground beef', '0.5 time(s) lb '), ('chopped onion', '0.75 time(s) cup '), ('shredded carrot', '0.75 time(s) cup '), ('diced celery', '0.75 time(s) cup '), ('dried basil', '1  time(s) teaspoon '), ('dried parsley', '1  time(s) teaspoon '), ('butter or 4 tablespoons $template2$, divided', '4  time(s) tablespoons '), ('chicken broth', '3  time(s) cups '), ('diced peeled potatoes', '4  time(s) cups '), ('all-purpose flour', '0.25 time(s) cup '), ('cheese, cubed', '8  time(s) ounces process american '), ('milk', '1 1/2 time(s) cups '), ('salt', '0.75 time(s) teaspoon '), ('pepper', '0.5 time(s) teaspoon '), ('sour cream', '0.25 time(s) cup '), ('mushroom, crumbled bacon,different cheese like cheddar optional', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Italian Style Chicken and Potatoes - 395.2 calories, 19.4g protein, 24.4g fat, 26.6g carbs.",Italian Style Chicken and Potatoes,True,fuzzy,True,True,False,{'balanced': True},"{'calories': 395.2, 'protein': 19.4, 'carbs': 26.6, 'total_fat': 24.4}",[],"Italian Chicken and Potatoes - 539 calories, 37.4g protein, 808mg sodium, ready in 495 minutes, serves 6. Ingredients: {'': [('boneless skinless chicken breasts (6 large or up to 8 small)', '6  time(s) '), ('bottled italian salad dressing (your choice)', '1  time(s) cup '), ('italian seasoning, divided', '2  time(s) teaspoons '), ('grated parmesan cheese or 1 cup $template2$', '1  time(s) cup '), ('medium potatoes, peeled and cut into wedges', '8  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a balanced meal with moderate calories and good protein.,"Chocolate Chip Cookie Dough Protein Bars - 170.6 calories, 6.1g protein, 7.5g fat, 20.9g carbs.",Chocolate Chip Cookie Dough Protein Bars,True,fuzzy,False,True,False,{'balanced': True},"{'calories': 170.6, 'protein': 6.1, 'carbs': 20.9, 'total_fat': 7.5}",[],"Chocolate Chip Cookie Dough Bites - 5892 calories, 53.6g protein, 1626mg sodium, ready in 24 minutes, serves 1. Ingredients: {'': [('refrigerated chocolate chip cookie dough', '12  time(s) ounces '), ('butter', '0.5 time(s) cup '), ('sugar', '0.25 time(s) cup '), ('brown sugar', '0.5 time(s) cup '), ('half-and-half', '3  time(s) tablespoons '), ('vanilla', '1  time(s) teaspoon '), ('flour', '1 1/3 time(s) cups '), ('mini chocolate chip', '0.6666666666666666 time(s) cup ')], 'for the coating': [('chocolate chips (melted)', '2  time(s) cups '), ('shortening', '1  time(s) tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a high-fiber recipe with at least 4g fiber.,"Honey-Glazed Turkey Breast - 5.6g dietary fiber, 1088.4 calories, 58.3g total carbs.",Honey,True,substring,True,True,False,{'fiber_min': 4.0},"{'calories': 1088.4, 'fiber': 5.6}",[],"Potato Honey Buns - 516 calories, 35.8g protein, 474mg sodium, ready in 190 minutes. Ingredients: {'': [('potato water (warm or plain water)', '0.25 time(s) cup '), ('milk', '3  time(s) tablespoons '), ('vegetable oil', '0.3333333333333333 time(s) cup '), ('honey', '0.3333333333333333 time(s) cup '), ('mashed potatoes', '0.5 time(s) cup '), ('salt', '1 1/2 time(s) teaspoons '), ('egg, beaten', '1  time(s) '), ('flour', '3  time(s) cups '), ('yeast (1 package)', '25  time(s) ounces ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 40 minutes.,"Chicken Fajitas - Takes 35 minutes, 347.8 calories, serves 4.",Chicken Fajitas,True,exact,True,True,False,{'duration_max': 40.0},"{'calories': 347.8, 'duration': 35.0, 'serves': 4.0}",[],"Chicken Fajitas - 244 calories, 20.0g protein, 337mg sodium, ready in 30 minutes. Ingredients: {'': [('oil', '1  time(s) tablespoon '), ('thin strips', '4  time(s) boneless skinless chicken breasts, sliced into long '), ('spanish onion, sliced in rings', '1  time(s) '), ('green pepper, seeded and cut in strips', '1  time(s) '), ('red pepper, seeded and cut in strips', '1  time(s) '), ('dash salt', '1  time(s) '), ('dash pepper', '1  time(s) '), ('lemon juice, fresh or bottled', '1  time(s) tablespoon '), ('flour tortillas (7 inch)', '8 -10  time(s) '), ('grated medium cheddar or 1 cup $template2$', '1  time(s) cup ')], 'garnishes': [('sour cream', ' time(s) '), ('salsa', ' time(s) '), ('guacamole', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Tuna Salad - 166.0 calories, 13.4g protein, 5.0g fat, 15.1g carbs.",Tuna Salad,True,exact,True,True,False,{'balanced': True},"{'calories': 166.0, 'protein': 13.4, 'carbs': 15.1, 'total_fat': 5.0}",[],"Tuna Salad - 170 calories, 20.3g protein, 444mg sodium, ready in 5 minutes, serves 2. Ingredients: {'': [('solid white tuna packed in water, drained', '1 time(s) (6 ounce) can '), ('mayonnaise', '2  time(s) tablespoons '), ('dijon mustard', '0.5 time(s) teaspoon '), ('grated carrots', '2  time(s) tablespoons '), ('salt & freshly ground black pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 639mg sodium.,"Honey Wheat Bread - 597.6mg sodium, 90.2 calories, 45 minutes prep time.",Honey Wheat Bread,True,exact,True,True,False,"{'calories_max': 639.0, 'sodium_max': 639.0}","{'calories': 90.2, 'sodium': 597.6, 'duration': 45.0}",[],"Honey Wheat Bread - 149 calories, 4.2g protein, 390mg sodium, ready in 190 minutes, serves 24. Ingredients: {'': [('water', '2 1/3 time(s) cups '), ('instant active dry yeast', '5  time(s) teaspoons '), ('canola oil', '0.3333333333333333 time(s) cup '), ('honey', '0.3333333333333333 time(s) cup '), ('salt', '4  time(s) teaspoons '), ('all-purpose white flour', '2  time(s) cups '), ('white wheat flour', '4  time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 544 calories.,"Cheesy Potato Casserole - 544.2 calories, 28.1g protein, ready in 75 minutes.",Cheesy Potato Casserole,True,exact,False,True,False,"{'calories_min': 494.0, 'calories_max': 594.0}","{'calories': 544.2, 'protein': 28.1, 'duration': 75.0}",[],"Cheesy Potato Casserole - 823 calories, 17.9g protein, 684mg sodium, ready in 70 minutes, serves 6. Ingredients: {'': [('frozen hash browns, thawed', '1 time(s) (2 lb) bag '), ('sour cream', '1  time(s) pint '), ('cream of chicken soup', '8  time(s) ounces '), ('butter', '0.5 time(s) cup '), ('onion, minced', '1  time(s) '), ('sharp cheddar cheese', '8  time(s) ounces '), ('salt & pepper', ' time(s) '), ('corn flake crumbs', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 397 calories.,"Easy Homemade Granola - 397.8 calories, 6.2g protein, ready in 30 minutes.",Easy Homemade Granola,True,exact,True,True,False,{'calories_max': 397.0},"{'calories': 397.8, 'protein': 6.2, 'duration': 30.0}",[],"Easy Homemade Granola - 108 calories, 2.0g protein, 118mg sodium, ready in 30 minutes, serves 20. Ingredients: {'': [('rolled oats', '2  time(s) cups '), ('cinnamon', '1  time(s) teaspoon '), ('salt', '1  time(s) teaspoon '), ('canola oil', '3  time(s) tablespoons '), ('honey', '0.25 time(s) cup '), ('light brown sugar', '0.25 time(s) cup '), ('pure vanilla extract', '1  time(s) teaspoon '), ('whole almond', '0.3333333333333333 time(s) cup '), ('walnut pieces', '0.3333333333333333 time(s) cup '), ('raisins', '0.3333333333333333 time(s) cup '), ('dried cranberries', '0.3333333333333333 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Fruit Salad - 91.8 calories, 0.5g protein, 0.0g fat, 23.8g carbs.",Fruit Salad,True,exact,False,True,False,{'balanced': True},"{'calories': 91.8, 'protein': 0.5, 'carbs': 23.8, 'total_fat': 0.0}",[],"Fruit Salad - 352 calories, 4.1g protein, 8mg sodium, ready in 8 minutes, serves 1. Ingredients: {'': [('red grapes', '1  time(s) cup '), ('strawberries', '1 1/2 time(s) cups '), ('apple', '1 time(s) '), ('blueberries', '1  time(s) cup '), ('vanilla yogurt (optional)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 237 calories.,"Bacon-Wrapped Chicken - 237.8 calories, 11.5g protein, ready in 25 minutes.",Bacon,True,exact,False,True,False,{'calories_max': 237.0},"{'calories': 237.8, 'protein': 11.5, 'duration': 25.0}",[],"Bacon - 615 calories, 10.6g protein, 45mg sodium, serves 16. Ingredients: {'': [('raw pork belly', '4  time(s) lbs '), ('packed brown sugar', '0.5 time(s) cup '), ('morton tender quick', '0.25 time(s) cup '), ('gallon cold water, more as needed', '1  time(s) '), ('charcoal, briquettes', '1 time(s) (10 lb) bag '), ('hickory chips or apple wood chips', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 268mg sodium.,"Chicken Enchilada Pie - 256.4mg sodium, 396.1 calories, 60 minutes prep time.",Chicken Enchilada Pie,True,exact,False,True,False,"{'calories_max': 268.0, 'sodium_max': 268.0}","{'calories': 396.1, 'sodium': 256.4, 'duration': 60.0}",[],"Chicken Enchilada Pie - 940 calories, 56.8g protein, 1787mg sodium, ready in 105 minutes, serves 3. Ingredients: {'': [('vegetable oil or 2 tablespoons olive oil', '2  time(s) tablespoons '), ('onion, chopped', '1/4-1/ time(s) '), ('minced garlic clove', '1  time(s) '), ('flour', '2  time(s) tablespoons '), ('ground cumin', '0.25 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('chicken broth, either canned or 1 1/2 cups reserved from boiling $template2$', '1 1/2 time(s) cups '), ('of chopped green chilies', '2 time(s) (4 ounce) cans '), ('dried oregano', '0.25 time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon '), ('corn tortillas, quartered', '12  time(s) '), ('refried beans', '1 time(s) (16 ounce) can '), ('boneless chicken breast halves, cooked and shredded', '2 -3  time(s) '), ('shredded cheddar cheese', '8 -10  time(s) ounces '), ('or $template3$ (your pleasure)', ' time(s) $template2$ (your pleasure) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 147mg sodium.,"Pumpkin Pie - 114.7mg sodium, 316.7 calories, 35 minutes prep time.",Pumpkin Pie,True,exact,False,True,False,"{'calories_max': 147.0, 'sodium_max': 147.0}","{'calories': 316.7, 'sodium': 114.7, 'duration': 35.0}",[],"Pumpkin Pie - 159 calories, 2.2g protein, 350mg sodium, ready in 30 minutes, serves 8. Ingredients: {'': [('cooked pumpkin', '2 1/2 time(s) cups '), ('sugar', '0.75 time(s) cup '), ('eggs', '2 time(s) '), ('vanilla', '1  time(s) teaspoon '), ('cinnamon', '1  time(s) teaspoon '), ('butter', '0.25 time(s) cup '), ('salt', '1  time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
